DivisionNm,CountNum,PPId,ALP,GRN,IND,LNP,ONP,OTH,TEAL
Adelaide,2,7008,0.14289999999999997,0.5713999999999999,,0.21429999999999996,0.07139999999999999,-1.0,
Adelaide,2,7048,0.22727809951542371,0.5000590946696608,,0.09088760193830517,0.18177520387661034,-1.0,
Adelaide,2,7049,0.3332965821389195,0.5640573318632855,,0.025689084895259097,0.07695700110253584,-1.0,
Adelaide,2,7053,0.14285714285714285,0.6666666666666666,,0.047619047619047616,0.14285714285714285,-1.0,
Adelaide,2,7067,0.16666666666666666,0.6666666666666666,,0.055520371543170785,0.11114629512349589,-1.0,
Adelaide,2,7075,0.3181057913443446,0.5,,0.09094710432782772,0.09094710432782772,-1.0,
Adelaide,2,7077,0.21738676685451888,0.6087455646002923,,0.08693383427259445,0.08693383427259445,-1.0,
Adelaide,2,7078,0.18176239567992145,0.8182376043200785,,0.0,0.0,-1.0,
Adelaide,2,7079,0.11543194683731234,0.6538272212650751,,0.15382722126507506,0.07691361063253753,-1.0,
Adelaide,2,7080,0.19233875620168456,0.5384792892581055,,0.23076035537094727,0.03842159916926272,-1.0,
Adelaide,2,7254,0.23077751453801418,0.7692224854619858,,0.0,0.0,-1.0,
Adelaide,2,7255,0.16666666666666666,0.6666666666666666,,0.16666666666666666,0.0,-1.0,
Adelaide,2,7280,0.15381952457881376,0.615393491807062,,0.15381952457881376,0.07696745903531041,-1.0,
Adelaide,2,12085,0.5,0.24994063167893613,,0.12502968416053192,0.12502968416053192,-1.0,
Adelaide,2,12086,0.0,0.6923076923076923,,0.23076923076923078,0.07692307692307693,-1.0,
Adelaide,2,31070,0.3077,0.3846,,0.23079999999999998,0.07690000000000001,-1.0,
Adelaide,2,32952,0.22663168251885865,0.639991253963048,,0.09336394446266534,0.04001311905542801,-1.0,
Adelaide,2,33098,0.3000129988301053,0.39997400233978947,,0.3000129988301053,0.0,-1.0,
Adelaide,2,36447,0.16670740650207772,0.611097531165974,,0.11109753116597408,0.11109753116597408,-1.0,
Adelaide,2,38208,0.23527439365150327,0.5882418687828321,,0.11769308147982561,0.05879065608583882,-1.0,
Adelaide,2,64715,0.15789473684210525,0.7368421052631579,,0.05263157894736842,0.05263157894736842,-1.0,
Adelaide,2,65592,0.0,1.0,,0.0,0.0,-1.0,
Adelaide,2,65713,0.0,0.0,,0.0,1.0,-1.0,
Adelaide,2,82875,0.0,0.5455,,0.0909,0.3636,-1.0,
Adelaide,2,82879,0.25,0.6667000000000001,,0.0,0.0833,-1.0,
Adelaide,2,82880,0.0,0.42857142857142855,,0.2857142857142857,0.2857142857142857,-1.0,
Adelaide,2,83454,0.0624734381640459,0.9375265618359542,,0.0,0.0,-1.0,
Adelaide,2,83475,0.1176117611761176,0.705970597059706,,0.0588058805880588,0.1176117611761176,-1.0,
Adelaide,2,83760,0.28005184145156065,0.5200345609677071,,0.039961118911329516,0.15995247866940274,-1.0,
Adelaide,2,96647,0.0,0.5,,0.2,0.3,-1.0,
Adelaide,2,96649,0.20004800192007682,0.39997599903996156,,0.39997599903996156,0.0,-1.0,
Adelaide,2,96715,0.21427602116976524,0.4285520423395305,,0.14289591532093907,0.21427602116976524,-1.0,
Adelaide,2,97817,0.2941238750661726,0.470513499205929,,0.05886712546320804,0.17649550026469032,-1.0,
Adelaide,2,97818,0.1428265295189114,0.6428801028608164,,0.07146683810136076,0.1428265295189114,-1.0,
Adelaide,2,97820,0.09999999999999999,0.19999999999999998,,0.19999999999999998,0.5,-1.0,
Adelaide,2,97823,0.26666666666666666,0.7333333333333333,,0.0,0.0,-1.0,
Adelaide,2,97861,0.3395710221054935,0.509411249726417,,0.07550886408404464,0.07550886408404464,-1.0,
Adelaide,2,108580,0.2,0.4,,0.2,0.2,-1.0,
Adelaide,3,0,0.12743137156857842,0.1817340867043352,,0.1696084804240212,0.5212260613030651,-1.0,
Adelaide,3,6648,0.20829999999999999,0.2917,,0.20829999999999999,0.2917,-1.0,
Adelaide,3,6649,0.06669333066693331,0.16668333166683333,,0.2666733326667333,0.49995000499950004,-1.0,
Adelaide,3,6651,0.0882088208820882,0.2941294129412941,,0.0882088208820882,0.5294529452945294,-1.0,
Adelaide,3,6654,0.22219999999999998,0.3056,,0.0833,0.3889,-1.0,
Adelaide,3,6655,0.10608939106089392,0.07579242075792421,,0.24237576242375763,0.5757424257574243,-1.0,
Adelaide,3,6657,0.1227877212278772,0.2631736826317368,,0.1052894710528947,0.5087491250874913,-1.0,
Adelaide,3,6659,0.1818,0.1515,,0.0455,0.6212,-1.0,
Adelaide,3,6660,0.1282,0.2051,,0.0513,0.6154,-1.0,
Adelaide,3,6663,0.1,0.1333,,0.16670000000000001,0.6,-1.0,
Adelaide,3,6668,0.11631163116311631,0.39533953395339533,,0.093009300930093,0.39533953395339533,-1.0,
Adelaide,3,6674,0.037003700370037,0.22222222222222218,,0.11111111111111109,0.6296629662966297,-1.0,
Adelaide,3,6675,0.02,0.1,,0.18,0.7,-1.0,
Adelaide,3,6676,0.1373,0.0784,,0.29410000000000003,0.4902,-1.0,
Adelaide,3,6679,0.0667,0.17329999999999998,,0.0933,0.6667000000000001,-1.0,
Adelaide,3,6681,0.16390000000000002,0.16390000000000002,,0.0984,0.5738,-1.0,
Adelaide,3,6682,0.2857,0.0,,0.4286,0.2857,-1.0,
Adelaide,3,6685,0.0857,0.1143,,0.1429,0.6570999999999999,-1.0,
Adelaide,3,6686,0.1521847815218478,0.0651934806519348,,0.19568043195680432,0.5869413058694131,-1.0,
Adelaide,3,6868,0.069,0.10339999999999999,,0.2069,0.6207,-1.0,
Adelaide,3,6871,0.069,0.069,,0.1379,0.7241,-1.0,
Adelaide,3,6878,0.0454954504549545,0.13638636136386362,,0.0908909109089091,0.7272272772722728,-1.0,
Adelaide,3,6886,0.07890789078907891,0.07890789078907891,,0.13161316131613163,0.7105710571057106,-1.0,
Adelaide,3,6889,0.15,0.2,,0.15,0.5,-1.0,
Adelaide,3,7008,0.0417,0.125,,0.3333,0.5,-1.0,
Adelaide,3,7048,0.1477147714771477,0.1136113611361136,,0.1591159115911591,0.5795579557955796,-1.0,
Adelaide,3,7049,0.18,0.14,,0.16,0.52,-1.0,
Adelaide,3,7053,0.09378124375124974,0.15626874625074985,,0.15626874625074985,0.5936812637472505,-1.0,
Adelaide,3,7067,0.12,0.04,,0.16,0.68,-1.0,
Adelaide,3,7075,0.1777822217778222,0.1777822217778222,,0.0888911108889111,0.5555444455554445,-1.0,
Adelaide,3,7077,0.16328367163283672,0.14288571142885712,,0.16328367163283672,0.5305469453054695,-1.0,
Adelaide,3,7078,0.18968103189681032,0.03449655034496551,,0.20687931206879315,0.5689431056894311,-1.0,
Adelaide,3,7079,0.1446,0.0482,,0.1807,0.6265,-1.0,
Adelaide,3,7080,0.125,0.10710000000000001,,0.17859999999999998,0.5893,-1.0,
Adelaide,3,7254,0.1351135113511351,0.1351135113511351,,0.2973297329732973,0.43244324432443243,-1.0,
Adelaide,3,7255,0.2245,0.0816,,0.1429,0.551,-1.0,
Adelaide,3,7280,0.25,0.25,,0.16670000000000001,0.3333,-1.0,
Adelaide,3,12085,0.098,0.1765,,0.25489999999999996,0.4706,-1.0,
Adelaide,3,12086,0.24489999999999998,0.1837,,0.12240000000000001,0.449,-1.0,
Adelaide,3,31070,0.087,0.1304,,0.21739999999999998,0.5652,-1.0,
