DivisionNm,upto50k,50to99k,100to150k,150kplus,18to34,35to49,50to64,65plus,female,male,englishonly,nonenglish,christian,noreligion,notertiary,tafe,university
Robertson,5739,31407,9414,5739,26595,28672,30746,35478,79018,74295,132623,13199,76192,62778,10813,42399,28589
Ryan,13360,34934,14959,13360,41041,35138,26702,23994,83367,80434,130004,28920,70806,74821,6737,28155,62102
SOLOMON,4760,33420,10932,4760,34467,27899,19869,11813,61554,62086,79727,31968,46056,50718,10855,28314,27522
Scullin,1658,35249,6406,1658,42003,36698,28083,24230,85312,85100,72402,89277,81704,33612,10405,35217,30866
Shortland,4120,33160,9096,4120,29299,28476,30478,35075,80602,76892,143514,7592,79377,66699,9510,46165,23553
Spence,1471,34872,4681,1471,45449,35425,33107,27083,95019,93202,142501,35418,66420,89390,12050,46537,14113
Sturt,9174,42704,12325,9174,40159,37064,33801,39296,96716,90636,124276,57405,84683,72071,8704,35778,59763
Swan,8621,42030,13097,8621,55348,37963,28679,27234,90931,91953,112255,58935,68404,68752,14602,39066,51788
Sydney,25100,53694,25276,25100,88104,51878,29552,20843,104044,109713,127577,72400,61151,111887,17243,33864,101796
Tangney,11820,37105,14549,11820,34739,37747,34158,33500,92646,87965,121764,51907,79956,68327,8781,36255,54395
Wannon,3309,32806,6295,3309,27917,27324,34413,37934,80688,79965,143233,6301,72447,71445,13332,41923,22235
Warringah,30474,41124,20929,30474,40989,42482,34266,30616,95936,87634,143031,33715,80357,84083,9743,30175,80531
Watson,1943,30872,5374,1943,49712,38466,31498,26358,95354,98526,47593,130720,68479,26894,16850,31354,35079
Wentworth,30904,41787,20868,30904,50666,41207,29707,28206,91778,87606,135811,32855,62013,77231,13982,26168,82937
Werriwa,2159,31902,6709,2159,39304,34476,29035,18036,83891,82641,59792,96154,80299,20815,10674,31989,24131
Whitlam,4556,35098,9335,4556,32252,30418,32180,36140,86836,82326,146729,14727,90998,63305,10719,50131,24335
Wide Bay,3354,25186,5139,3354,21963,25310,34992,40512,76871,75366,136092,5767,67241,68213,13152,43951,18605
Wills,9117,43192,15335,9117,55202,39384,26337,23823,90401,84769,111046,56453,60908,78343,9924,28581,65593
Wright,3695,37887,8423,3695,35028,36505,35689,28437,91387,90275,159046,12069,83495,78850,12139,52216,20786
