DivisionNm,upto50k,50to99k,100to150k,150kplus,18to34,35to49,50to64,65plus,female,male,englishonly,nonenglish,christian,noreligion,notertiary,tafe,university
Bruce,0.061246430963375516,0.725545489795199,0.15196164827804998,0.061246430963375516,0.30101381278913353,0.26710193903999474,0.23586075658650218,0.19602349158436957,0.49942786859628696,0.500572131403713,0.5276141502474904,0.47238584975250963,0.6174914914619952,0.3825085085380048,0.1398376274971005,0.48184961574731455,0.37831275675558496
Bullwinkel,0.10846316796501299,0.5898933989339893,0.19318026513598469,0.10846316796501299,0.23307315864461375,0.24521464411819363,0.26906399058415414,0.25264820665303844,0.495565685366459,0.5044343146335409,0.9062006983059615,0.09379930169403854,0.47583137594263814,0.5241686240573619,0.14370617046877088,0.5637647516377204,0.2925290778935087
Burt,0.06128972653362897,0.7094604582409461,0.16796008869179602,0.06128972653362897,0.3237363121030225,0.30857433391259476,0.20724405624653772,0.160445297737845,0.5048291069459757,0.49517089305402423,0.6975305041644309,0.30246949583556915,0.5048570955360807,0.49514290446391923,0.14027558718165034,0.5532895621660614,0.3064348506522882
Calare,0.08049577771724326,0.6560688018056583,0.18293964275985525,0.08049577771724326,0.2553946925407854,0.2309311009764011,0.25109424260047136,0.2625799638823421,0.4990554174586928,0.5009445825413072,0.947889859408476,0.05211014059152394,0.6346751477803197,0.36532485221968025,0.18645414546791428,0.5411107553278542,0.2724350992042314
Calwell,0.045387319675112135,0.7694508425263669,0.1397745181234089,0.045387319675112135,0.3678077146733863,0.29571622407443304,0.21228144989339018,0.12419461135879047,0.4974987717182545,0.5025012282817455,0.3784621633406404,0.6215378366593596,0.7450160055107581,0.25498399448924186,0.15397001515479541,0.46200476293570036,0.3840252219095042
Canberra,0.16269328354636411,0.4509789841543396,0.22363444875293217,0.16269328354636411,0.3912356856422341,0.23759560130637894,0.19021869444788952,0.18095001860349746,0.5089685790472002,0.49103142095279984,0.7674666782820804,0.23253332171791968,0.3936382854463647,0.6063617145536353,0.09516276304333977,0.20422355764126304,0.7006136793153972
Canning,0.11818871423153104,0.5497281807071516,0.21389439082978634,0.11818871423153104,0.23462440004464785,0.23620424669648912,0.25276687817149923,0.2764044750873638,0.5113920368141968,0.48860796318580324,0.9360600496661954,0.06393995033380467,0.4671347552073016,0.5328652447926984,0.1654596021628337,0.6304264961246876,0.20411390171247865
Capricornia,0.115373145455901,0.5710691120554686,0.19818459703272945,0.115373145455901,0.28263862708780674,0.25654411644183645,0.25352816797521677,0.20728908849514005,0.48819424888137924,0.5118057511186207,0.9431487389267789,0.05685126107322113,0.5774483992494436,0.42255160075055637,0.22788892606222816,0.5519170291067247,0.22019404483104718
Casey,0.08353439955880325,0.6578484764924859,0.17508272438990763,0.08353439955880325,0.25629339943648094,0.2553080109008607,0.26120494541871314,0.22719364424394525,0.5039888715833026,0.49601112841669737,0.9196222027042072,0.08037779729579277,0.4109754513573191,0.5890245486426808,0.10208589804065948,0.5567380374380155,0.34117606452132493
Chifley,0.0431978432185815,0.7592700124429698,0.15433430111986726,0.0431978432185815,0.3383558085161656,0.2995142841398421,0.2082044257610467,0.15392548158294564,0.5046154898117337,0.4953845101882664,0.5015415417874515,0.4984584582125485,0.7340393551324006,0.26596064486759946,0.17044812169176216,0.4073821881905545,0.42216969011768335
Chisholm,0.17554238249888324,0.4716946963020198,0.1772205387002137,0.17554238249888324,0.28763480668319225,0.24557190226314266,0.22818143772333643,0.2386118533303287,0.5121816795780452,0.48781832042195483,0.5596375371332094,0.44036246286679065,0.4980597102240596,0.5019402897759404,0.09251221312339648,0.26156292833796085,0.6459248585386427
