demographic,ALP,ALP_std,LNC,LNC_std,GRN,GRN_std,PHON,PHON_std,OTH,OTH_std,ALP 2pp,ALP 2pp_std,L-NP 2pp,L-NP 2pp_std
35to49,0.3688449037330789,0.09300266048559386,0.3928633944663704,0.10040708070426207,0.09739806661154378,0.03690555785873922,0.08580729071494327,0.02138773750595421,0.055086344474063575,0.0146737218747191,0.5138033387614431,0.12333442345495864,0.49595121868065156,0.11518161427856767
50to64,0.3422347513547105,0.08870096400617317,0.44254729764515033,0.10101948323651098,0.03579477033247533,0.022016108237770303,0.0833435348180188,0.022754094881510496,0.09607964584964501,0.024924517451548615,0.45627283654148443,0.111385513730848,0.5539021242784513,0.12375877980844957
50to99k,0.3148998840235645,0.10455413617996541,0.37594184773731293,0.11844434133672611,0.12631938578544136,0.04036948963017909,0.08660864160966986,0.014747493202697425,0.09623024084401133,0.029612760839525677,0.5070771050003201,0.14706946652417469,0.5079043879144671,0.13649598050213207
65plus,0.3027005438243153,0.07546015454688948,0.4852664026967683,0.12974549758462245,0.021480520538713466,0.011489531219371924,0.04811461131127509,0.02189756935640207,0.14243792162892777,0.03962938272166132,0.4139089817882041,0.09380297455172161,0.5949984209611713,0.143763936014913
christian,0.2828963227285685,0.09671483610976114,0.4966831418006522,0.15508118897701376,0.05530006571592182,0.022204890623935773,0.08106872285766337,0.01890848431954129,0.08405174689719419,0.026878752889971887,0.4058486093223698,0.13396515448777777,0.6081637172237306,0.18779317313435676
englishonly,0.3241204795131392,0.10089616562298849,0.40582882770973683,0.12100938508985362,0.11639733114246704,0.041289964810417704,0.06682173133701798,0.020751023248455045,0.08683163029763896,0.026999994411716213,0.49881166539523775,0.14264304560643248,0.5169188492389926,0.1477545216210617
female,0.31490209707895955,0.10785761476619578,0.3612606405779861,0.12087551113728867,0.14781108412355023,0.05120461330157103,0.09143445848203911,0.029659933631352702,0.08459171973746493,0.028609528815314846,0.5105790919568659,0.13184821740127592,0.5036811991809388,0.1168664758204101
male,0.3104416862640983,0.09930541793070392,0.4200050953721757,0.12446143373032592,0.08845529126510393,0.033180626424349755,0.06349353351590879,0.022614586143429885,0.11760439358271335,0.037259622320481904,0.46718979946291117,0.11922151402194643,0.5457722933554371,0.13176524963401665
nonenglish,0.36196103438630167,0.13570867679831058,0.31831527911766094,0.12735142780122904,0.16661381399206732,0.0642343699627541,0.08499595247376403,0.014342197166285065,0.068113920030206,0.024971091893829376,0.4785606588462412,0.1761910282055225,0.5335783753247145,0.13973607853706838
noreligion,0.35019488896275913,0.11158398111654595,0.3141145083405781,0.09610332876043237,0.17730884300135694,0.06446689913140652,0.06924352596864097,0.017985594917549065,0.08913823372666485,0.028393495712935292,0.5864157140227636,0.16319429965721266,0.429068071063435,0.11972233589129863
notertiary,0.265159861607618,0.08803826473045642,0.4333021084516942,0.09744204513823805,0.10307842634663703,0.034786477746143886,0.07177746672268753,0.019912128000836516,0.12668213687136332,0.034839981576283006,0.4455073964289855,0.1163851635182488,0.5640473016836092,0.11656991557565943
tafe,0.2772958922876614,0.0854465080315075,0.4380898798878586,0.0965360218041138,0.07584526096023494,0.03369013457732855,0.10136000108913623,0.024718147248117838,0.10740896577510894,0.02892716537846023,0.4279976516184118,0.11792250146819996,0.5819269915353461,0.11790471877004932
university,0.4098141770174259,0.0847978348679921,0.3454806264657024,0.10111372865296643,0.11509144522737937,0.04005649390573409,0.036881927715287345,0.01247811709000862,0.09273182357420506,0.024371568585526537,0.5741760017992448,0.11547523724782993,0.43582471217732077,0.11543589550745251
upto50k,0.3244833084223375,0.10081423789190454,0.36600451664186584,0.11109142839857485,0.10860387814671416,0.035420303767885505,0.07992055872052303,0.027456091013521124,0.12098773806855945,0.03782115616664429,0.5177409925752151,0.1414872987627428,0.4970764167542613,0.14152226052299766
